date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:20	1872460/1872460	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:39:56%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_23_2015.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_23_2015.pdf	(from http://www.isgd.org/newsletter/)
11:05:25	1898603/1898603	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:39:50%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_16_2015.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_16_2015.pdf	(from http://www.isgd.org/newsletter/)
11:06:42	1053602/1053602	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:39:42%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_09_2015.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_09_2015.pdf	(from http://www.isgd.org/newsletter/)
11:08:47	1376980/1376980	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:39:38%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_02_2015.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-1_02_2015.pdf	(from http://www.isgd.org/newsletter/)
11:08:49	2175/2175	---M--	200	added ('OK')	application/json	date:Thu,%2024%20Nov%202016%2016:08:47%20GMT	http://www.isgd.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.isgd.org%2Fgallery%2F	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-json/oembed/1.0/embed6b56.json	(from http://www.isgd.org/gallery/)
11:08:50	661/661	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.isgd.org/gallery/feed/	C:/My%20Web%20Sites/isgd/www.isgd.org/gallery/feed/index.html	(from http://www.isgd.org/gallery/)
11:08:51	2272/2272	---M-Z	200	added ('OK')	text/xml	date:Thu,%2024%20Nov%202016%2016:08:49%20GMT	http://www.isgd.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.isgd.org%2Fgallery%2F&format=xml	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-json/oembed/1.0/embeddbe8	(from http://www.isgd.org/gallery/)
11:08:52	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Nov%202016%2016:08:51%20GMT	http://www.isgd.org/?p=119	C:/My%20Web%20Sites/isgd/www.isgd.org/index7737.html	(from http://www.isgd.org/gallery/)
11:09:02	1382101/1382101	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:40:34%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-12_26_2014.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-12_26_2014.pdf	(from http://www.isgd.org/newsletter/)
11:09:02	62168/62168	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:40:12%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new10-1024x517.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new10-1024x517.jpg	(from http://www.isgd.org/gallery/)
11:09:08	38839/38839	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202015%2007:48:16%20GMT	http://www.isgd.org/wp-content/uploads/2015/12/new10-800x400.jpg	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/12/new10-800x400.jpg	(from http://www.isgd.org/gallery/)
11:09:11	1409601/1409601	---M--	200	added ('OK')	application/pdf	date:Thu,%2029%20Jan%202015%2008:40:26%20GMT	http://www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-12_19_2014.pdf	C:/My%20Web%20Sites/isgd/www.isgd.org/wp-content/uploads/2015/01/ISGD-Weekly-Newsletter-12_19_2014.pdf	(from http://www.isgd.org/newsletter/)
